feature,auc,f1,drop_auc,drop_f1
TF-IDF (baseline),0.9555555555555557,0.8900699300699302,-2.220446049250313e-16,0.0
F1: Sim Margin,0.9666666666666668,0.8900699300699302,-0.011111111111111294,0.0
F2: Len-Decouple,0.9444444444444444,0.8357575757575757,0.011111111111111072,0.05431235431235448
F3: MATTR,0.95,0.9054545454545455,0.005555555555555536,-0.01538461538461533
F4: QDR,0.961111111111111,0.9054545454545455,-0.005555555555555536,-0.01538461538461533
F5: Semantic,0.9277777777777778,0.8755244755244755,0.02777777777777768,0.014545454545454639
F6: OCR-Weight,0.9555555555555555,0.8900699300699302,0.0,0.0
